fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Style
Josh Barnett,75.0,250.0,78.0,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,1
Carlos Barreto,76.0,230.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jose Barreto,70.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dan Barrera,69.0,170.0,72.0,0.8,0.7,1.2,0.28,1.0,0.08,0.0,0.0,0
Peter Barrett,70.0,145.0,73.0,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0,2
David Barrios,66.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marc-Andre Barriault,73.0,185.0,74.0,4.25,0.46,4.12,0.57,0.55,0.28,0.69,0.0,2
Alexandre Barros,69.0,170.0,72.0,0.98,0.4,4.05,0.36,1.84,0.5,1.0,0.0,0
Ricardo Barros,73.0,205.0,72.0,0.0,0.0,8.22,0.31,0.0,0.0,1.0,0.0,0
Francimar Barroso,73.0,205.0,75.0,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,1
Dean Barry,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Enrique Barzola,67.0,145.0,70.0,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,1
Stephen Bass,69.0,145.0,72.0,4.87,0.52,5.87,0.55,0.0,0.0,0.0,0.0,2
Pat Barry,71.0,235.0,74.0,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2,0
Sean Bassett,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ryan Bastianelli,65.0,135.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Shayna Baszler,67.0,135.0,72.0,2.49,0.3,6.36,0.51,0.67,0.18,0.44,1.3,1
Batgerel Danaa,67.0,135.0,70.0,5.66,0.38,2.61,0.58,0.0,0.0,0.57,0.0,2
Michel Batista,75.0,260.0,72.0,0.0,0.0,4.03,0.4,6.72,0.5,0.0,0.0,1
Alan Baudot,75.0,243.0,79.0,1.89,0.25,10.11,0.36,0.0,0.0,0.0,0.0,0
Mario Bautista,69.0,135.0,69.0,5.71,0.45,4.78,0.54,0.48,0.33,0.7,0.0,2
Chris Beal,67.0,125.0,69.0,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,0
Rudy Bears,71.0,170.0,72.0,1.27,0.29,2.53,0.5,0.0,0.0,0.0,0.0,0
Salvador Becerra,69.0,155.0,72.0,4.57,0.31,3.83,0.58,0.0,0.0,0.66,0.0,2
Ariel Beck,66.0,125.0,66.0,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0,2
Jeff Bedard,66.0,145.0,72.0,0.8,0.51,0.0,1.0,3.43,0.66,1.0,2.6,1
Eric Bedard,74.0,239.0,72.0,6.37,0.35,8.54,0.52,0.0,0.0,0.0,0.0,2
Lyle Beerbohm,70.0,155.0,72.0,1.98,0.55,1.61,0.54,2.1,0.23,0.64,0.3,1
Chase Beebe,67.0,135.0,67.0,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9,1
Johnny Bedford,70.0,135.0,71.0,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,2
Mirsad Bektic,68.0,145.0,70.0,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4,1
Diana Belbita,67.0,125.0,68.0,5.81,0.39,6.49,0.52,1.69,0.66,0.64,0.0,2
Alan Belcher,74.0,185.0,75.0,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,0
Danilo Belluardo,72.0,155.0,74.0,1.52,0.61,4.79,0.41,3.5,1.0,0.5,0.0,1
Vitor Belfort,72.0,185.0,74.0,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,0
Joey Beltran,73.0,185.0,75.0,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0,2
Marco Beltran,68.0,125.0,69.0,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,0
Mike Bencic,72.0,215.0,72.0,0.0,0.0,3.32,0.53,0.0,0.0,0.0,0.0,0
Joseph Benavidez,64.0,125.0,65.0,3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6,2
Karla Benitez,63.0,113.0,72.0,0.0,0.0,2.4,0.57,0.0,0.0,1.0,0.0,0
